scenario,protocol,n_agents,run,denm_pdr,denm_ddl,bsm_pdr,emerg_p99,latency_p99,mean_cbr
urban,QDAP-noGhost,50,16,0.60797,0.60725,0.61609,24.478,25.692,0.2507
urban,QDAP-noGhost,50,17,0.77132,0.77054,0.57573,18.680,26.252,0.2347
urban,QDAP-noGhost,50,18,0.83712,0.83712,0.61085,14.932,25.721,0.2400
urban,QDAP-noGhost,50,19,0.70507,0.70217,0.57740,27.788,25.954,0.2507
urban,QDAP,75,0,0.64265,0.64265,0.58152,3.013,10.740,0.3680
urban,QDAP,75,1,0.69755,0.69755,0.62514,2.859,10.742,0.3680
urban,QDAP,75,2,0.81244,0.81244,0.64835,3.082,10.704,0.3627
urban,QDAP,75,3,0.73750,0.73750,0.63470,2.893,10.457,0.3467
urban,QDAP,75,4,0.83990,0.83990,0.65954,2.739,10.746,0.3573
urban,QDAP,75,5,0.65521,0.65521,0.61079,2.719,10.624,0.3467
urban,QDAP,75,6,0.78783,0.78783,0.63222,2.705,10.706,0.3413
urban,QDAP,75,7,0.59179,0.59179,0.61805,2.731,10.706,0.3733
urban,QDAP,75,8,0.86816,0.86816,0.65455,2.860,10.491,0.3627
urban,QDAP,75,9,0.41949,0.41949,0.63583,2.796,10.712,0.3520
urban,QDAP,75,10,0.92687,0.92687,0.64081,2.788,10.848,0.3627
urban,QDAP,75,11,0.88802,0.88802,0.61286,2.858,10.800,0.3467
urban,QDAP,75,12,0.65104,0.65104,0.60695,2.825,10.613,0.3467
urban,QDAP,75,13,0.67292,0.67292,0.61344,2.820,10.550,0.3467
urban,QDAP,75,14,0.82687,0.82687,0.64080,2.860,10.959,0.3627
urban,QDAP,75,15,0.69900,0.69900,0.62515,2.676,10.648,0.3627
urban,QDAP,75,16,0.83389,0.83389,0.66201,2.631,10.648,0.3253
urban,QDAP,75,17,0.73990,0.73990,0.65144,2.810,10.834,0.3573
urban,QDAP,75,18,0.74478,0.74478,0.58640,2.936,10.522,0.3627
urban,QDAP,75,19,0.79792,0.79792,0.62932,2.558,10.700,0.3467
urban,QDAP-noFEC,75,0,0.56863,0.56863,0.55816,2.893,10.740,0.3680
urban,QDAP-noFEC,75,1,0.62451,0.62451,0.60332,2.871,10.665,0.3680
urban,QDAP-noFEC,75,2,0.77164,0.77164,0.62838,2.820,10.735,0.3627
urban,QDAP-noFEC,75,3,0.67031,0.67031,0.61507,2.791,10.538,0.3467
urban,QDAP-noFEC,75,4,0.76313,0.76313,0.63733,2.841,10.754,0.3573
urban,QDAP-noFEC,75,5,0.58750,0.58750,0.58883,2.729,10.577,0.3467
urban,QDAP-noFEC,75,6,0.71852,0.71852,0.61172,2.850,10.678,0.3413
